spec_id,brand,lcd screen size,image display resolution
www.flipkart.com//2219,,,
www.flipkart.com//2167,,,
www.flipkart.com//2188,canon,3.0,1040000d
www.flipkart.com//2171,nikon,2.7,230000d
www.flipkart.com//2258,nikon,3.0,460000d
www.flipkart.com//2274,,2.0,
www.flipkart.com//2223,sony,2.7,460800d
www.flipkart.com//2235,yourdeal,,
www.flipkart.com//2262,canon,3.0,230000d
www.flipkart.com//2215,,,
www.flipkart.com//2307,,3.0,921000d
www.flipkart.com//2242,canon,3.0,1040000d
www.flipkart.com//322,nikon,3.0,921000d
www.flipkart.com//2184,,2.7,230000d
www.flipkart.com//2311,sony,3.0,921600d
www.flipkart.com//2254,canon,2.7,230000d
www.flipkart.com//2192,lowepro,,
www.flipkart.com//2203,,3.0,921000d
www.flipkart.com//2297,,3.0,920000d
www.flipkart.com//318,sony,2.7,230400d
www.flipkart.com//2239,sigma,,
www.flipkart.com//2281,digiflip,,
www.flipkart.com//2280,lowepro,,
www.flipkart.com//2238,,,
www.flipkart.com//319,nikon,,
www.flipkart.com//2279,nikon,2.7,230000d
www.flipkart.com//2296,canon,2.7,230000d
www.flipkart.com//2202,canon,2.7,230000d
www.flipkart.com//2193,canon,3.0,460000d
www.flipkart.com//2310,nikon,2.7,230000d
www.flipkart.com//2255,,3.0,921000d
www.flipkart.com//2306,digiflip,,
www.flipkart.com//2243,nikon,3.0,230000d
www.flipkart.com//2214,yourdeal,,
www.flipkart.com//2263,nikon,2.7,230000d
www.flipkart.com//2234,nikon,,
www.flipkart.com//2275,,,
www.flipkart.com//315,sony,3.0,460800d
www.flipkart.com//2259,nikon,3.0,921000d
www.flipkart.com//2170,nikon,3.0,460000d
www.flipkart.com//2166,nikon,3.0,921000d
www.flipkart.com//2189,nikon,,
www.flipkart.com//2213,sigma,,
www.flipkart.com//2301,nikon,3.0,921000d
www.flipkart.com//2244,,3.2,1036800d
www.flipkart.com//2182,canon,3.0,460000d
www.flipkart.com//2317,,2.0,
www.flipkart.com//2252,nikon,3.0,921000d
www.flipkart.com//2194,nikon,,
www.flipkart.com//2205,nikon,3.0,460000d
www.flipkart.com//2291,nikon,2.7,230000d
www.flipkart.com//2229,canon,,
www.flipkart.com//2268,nikon,3.0,921000d
www.flipkart.com//2287,,,
www.flipkart.com//2248,canon,2.7,230000d
www.flipkart.com//2177,canon,,
www.flipkart.com//2198,tamron,,
www.flipkart.com//2209,nikon,2.7,230000d
www.flipkart.com//2272,nikon,,
www.flipkart.com//2225,pentax,,
www.flipkart.com//2233,nikon,3.0,921000d
www.flipkart.com//2264,sony,2.7,230000d
www.flipkart.com//2321,nikon,3.0,921000d
www.flipkart.com//2265,canon,2.7,230000d
www.flipkart.com//2320,sony,2.7,230000d
www.flipkart.com//2224,canon,3.0,1040000d
www.flipkart.com//2273,,3.0,921000d
www.flipkart.com//2208,canon,2.7,230000d
www.flipkart.com//2176,canon,3.0,460000d
www.flipkart.com//2199,nikon,3.0,230000d
www.flipkart.com//2249,,,
www.flipkart.com//2269,nikon,3.0,230000d
www.flipkart.com//2286,sony,3.0,460800d
www.flipkart.com//2228,canon,2.7,230000d
www.flipkart.com//2290,sony,2.7,230400d
www.flipkart.com//2204,nikon,,
www.flipkart.com//2195,sony,2.7,460800d
www.flipkart.com//2316,panasonic,3.0,460000d
www.flipkart.com//2253,nikon,3.0,921000d
www.flipkart.com//2183,nikon,,
www.flipkart.com//2300,,3.0,921000d
www.flipkart.com//2212,nikon,2.7,230000d
www.flipkart.com//2285,sony,3.0,460800d
www.flipkart.com//2293,tamron,,
www.flipkart.com//2207,canon,,
www.flipkart.com//2196,nikon,3.0,460000d
www.flipkart.com//2179,lowepro,,
www.flipkart.com//2250,sony,2.7,230400d
www.flipkart.com//2315,nikon,3.0,921000d
www.flipkart.com//2180,,3.0,921000d
www.flipkart.com//2246,,2.7,230000d
www.flipkart.com//2211,,3.0,921000d
www.flipkart.com//2289,,,
www.flipkart.com//2323,nikon,3.0,230000d
www.flipkart.com//2231,sony,3.0,921600d
www.flipkart.com//2227,canon,2.7,230000d
www.flipkart.com//2270,nikon,3.0,230000d
www.flipkart.com//2319,,3.2,1036800d
www.flipkart.com//2175,tamron,,
www.flipkart.com//2174,nikon,3.0,230000d
www.flipkart.com//2271,canon,,
www.flipkart.com//2226,nikon,2.7,230000d
www.flipkart.com//2230,canon,2.7,230000d
www.flipkart.com//2288,,,
www.flipkart.com//2322,,3.0,230000d
www.flipkart.com//2267,sony,,
www.flipkart.com//2210,canon,3.0,1040000d
www.flipkart.com//2247,nikon,3.0,921000d
www.flipkart.com//2302,nikon,2.7,230000d
www.flipkart.com//2181,,3.0,921000d
www.flipkart.com//2251,sony,3.0,460800d
www.flipkart.com//2314,,,
www.flipkart.com//2197,,2.0,
www.flipkart.com//2178,nikon,3.0,230000d
www.flipkart.com//2206,canon,3.0,230000d
www.flipkart.com//2292,nikon,2.7,230000d
www.flipkart.com//2284,,3.0,1040000d
www.flipkart.com//2260,sony,2.7,460800d
www.flipkart.com//2237,sony,2.7,230400d
www.flipkart.com//2221,nikon,,
www.flipkart.com//2299,,3.0,921000d
www.flipkart.com//2276,nikon,3.0,921000d
www.flipkart.com//316,nikon,,
www.flipkart.com//2173,,3.0,1040000d
www.flipkart.com//2309,nikon,2.7,230000d
www.flipkart.com//2165,sony,2.7,230400d
www.flipkart.com//2283,sony,,
www.flipkart.com//2295,sony,3.0,460800d
www.flipkart.com//2201,nikon,3.0,921000d
www.flipkart.com//2190,sony,2.7,230400d
www.flipkart.com//2256,tamron,,
www.flipkart.com//2313,sony,2.7,230400d
www.flipkart.com//2186,,,
www.flipkart.com//2169,tamron,,
www.flipkart.com//320,,,
www.flipkart.com//2240,,3.0,460000d
www.flipkart.com//2217,nikon,3.0,230000d
www.flipkart.com//2216,sony,3.0,460800d
www.flipkart.com//2241,nikon,3.0,921000d
www.flipkart.com//2304,nikon,,
www.flipkart.com//2187,canon,,
www.flipkart.com//2168,lowepro,,
www.flipkart.com//321,nikon,,
www.flipkart.com//2257,,2.0,
www.flipkart.com//2312,yourdeal,,
www.flipkart.com//2191,canon,3.0,1040000d
www.flipkart.com//2200,nikon,3.0,921000d
www.flipkart.com//2294,digiflip,,
www.flipkart.com//2282,,3.0,921000d
www.flipkart.com//2308,sony,,
www.flipkart.com//2172,yourdeal,,
www.flipkart.com//317,canon,2.8,461000d
www.flipkart.com//2298,,,
www.flipkart.com//2220,canon,,
www.flipkart.com//2236,nikon,3.0,230000d
www.flipkart.com//2324,,,
www.flipkart.com//2261,,2.7,230000d
