spec_id,brand,megapixels,screen_size
www.ukdigitalcameras.co.uk//50,canon,16.0,3.0
www.ukdigitalcameras.co.uk//34,panasonic,10.1,3.0
www.ukdigitalcameras.co.uk//47,ricoh,16.0,3.0
www.ukdigitalcameras.co.uk//40,fuji,16.0,2.8
www.ukdigitalcameras.co.uk//227,nikon,20.0,2.7
www.ukdigitalcameras.co.uk//42,canon,16.0,3.0
www.ukdigitalcameras.co.uk//166,sony,18.0,3.0
www.ukdigitalcameras.co.uk//300,pentax,16.0,3.0
www.ukdigitalcameras.co.uk//260,samsung,16.0,4.8
www.ukdigitalcameras.co.uk//170,sony,18.0,3.0
www.ukdigitalcameras.co.uk//39,samsung,16.0,3.0
www.ukdigitalcameras.co.uk//151,sony,20.0,3.0
www.ukdigitalcameras.co.uk//289,sony,18.2,3.0
www.ukdigitalcameras.co.uk//215,panasonic,16.0,3.0
www.ukdigitalcameras.co.uk//277,ricoh,16.0,3.0
www.ukdigitalcameras.co.uk//138,canon,20.0,3.0
www.ukdigitalcameras.co.uk//127,canon,18.0,3.0
www.ukdigitalcameras.co.uk//297,nikon,20.0,2.7
www.ukdigitalcameras.co.uk//49,ricoh,16.0,3.0
www.ukdigitalcameras.co.uk//52,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//229,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//46,olympus,16.0,3.0
www.ukdigitalcameras.co.uk//255,nikon,20.0,2.7
www.ukdigitalcameras.co.uk//259,panasonic,16.0,3.0
www.ukdigitalcameras.co.uk//250,panasonic,12.8,3.0
www.ukdigitalcameras.co.uk//291,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//214,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//234,canon,16.0,3.0
www.ukdigitalcameras.co.uk//220,fuji,16.0,3.0
www.ukdigitalcameras.co.uk//272,panasonic,20.0,3.0
www.ukdigitalcameras.co.uk//38,canon,16.0,3.0
www.ukdigitalcameras.co.uk//307,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//257,canon,16.0,3.0
www.ukdigitalcameras.co.uk//299,nikon,12.0,3.0
www.ukdigitalcameras.co.uk//302,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//161,sony,20.2,3.0
www.ukdigitalcameras.co.uk//266,nikon,13.0,2.7
www.ukdigitalcameras.co.uk//37,fuji,12.0,3.0
www.ukdigitalcameras.co.uk//261,nikon,13.0,2.7
www.ukdigitalcameras.co.uk//178,fuji,16.2,3.0
www.ukdigitalcameras.co.uk//232,panasonic,12.1,3.0
www.ukdigitalcameras.co.uk//176,fuji,16.2,3.0
www.ukdigitalcameras.co.uk//252,pentax,16.0,3.0
www.ukdigitalcameras.co.uk//41,canon,16.0,3.0
www.ukdigitalcameras.co.uk//274,panasonic,16.1,3.0
www.ukdigitalcameras.co.uk//281,olympus,16.0,3.0
www.ukdigitalcameras.co.uk//242,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//269,nikon,20.0,3.0
www.ukdigitalcameras.co.uk//263,nikon,20.0,2.7
www.ukdigitalcameras.co.uk//280,olympus,16.0,3.0
www.ukdigitalcameras.co.uk//231,panasonic,18.1,3.0
www.ukdigitalcameras.co.uk//218,canon,16.0,3.0
www.ukdigitalcameras.co.uk//273,canon,12.1,3.0
www.ukdigitalcameras.co.uk//2,canon,16.0,3.0
www.ukdigitalcameras.co.uk//298,fuji,16.4,2.7
www.ukdigitalcameras.co.uk//246,fuji,12.0,3.0
www.ukdigitalcameras.co.uk//225,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//226,canon,20.0,2.7
www.ukdigitalcameras.co.uk//295,fuji,16.0,2.8
www.ukdigitalcameras.co.uk//233,panasonic,16.1,3.0
www.ukdigitalcameras.co.uk//253,olympus,16.0,3.0
www.ukdigitalcameras.co.uk//293,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//278,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//267,canon,16.0,3.0
www.ukdigitalcameras.co.uk//248,panasonic,16.0,3.0
www.ukdigitalcameras.co.uk//48,canon,16.0,2.7
www.ukdigitalcameras.co.uk//276,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//284,nikon,16.1,3.0
www.ukdigitalcameras.co.uk//292,canon,16.0,3.0
www.ukdigitalcameras.co.uk//167,sony,20.2,3.0
www.ukdigitalcameras.co.uk//224,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//55,fuji,12.0,3.0
www.ukdigitalcameras.co.uk//217,samsung,16.0,3.0
www.ukdigitalcameras.co.uk//243,olympus,16.0,3.0
www.ukdigitalcameras.co.uk//237,panasonic,12.8,3.0
www.ukdigitalcameras.co.uk//35,nikon,20.0,3.0
www.ukdigitalcameras.co.uk//254,panasonic,20.1,3.0
www.ukdigitalcameras.co.uk//228,nikon,16.1,3.0
www.ukdigitalcameras.co.uk//308,ricoh,16.0,3.0
www.ukdigitalcameras.co.uk//271,panasonic,16.1,3.0
www.ukdigitalcameras.co.uk//230,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//153,sony,20.4,3.0
www.ukdigitalcameras.co.uk//287,canon,16.0,3.0
www.ukdigitalcameras.co.uk//45,samsung,16.0,3.0
www.ukdigitalcameras.co.uk//290,canon,16.0,3.0
www.ukdigitalcameras.co.uk//235,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//238,samsung,16.0,4.8
www.ukdigitalcameras.co.uk//305,nikon,13.0,2.7
www.ukdigitalcameras.co.uk//265,panasonic,16.1,3.0
www.ukdigitalcameras.co.uk//152,sony,18.0,3.0
www.ukdigitalcameras.co.uk//51,ricoh,16.0,3.0
www.ukdigitalcameras.co.uk//241,olympus,16.0,3.0
www.ukdigitalcameras.co.uk//283,fuji,16.0,2.8
www.ukdigitalcameras.co.uk//130,fuji,16.0,3.0
www.ukdigitalcameras.co.uk//249,panasonic,12.1,3.0
www.ukdigitalcameras.co.uk//239,fuji,16.3,3.0
www.ukdigitalcameras.co.uk//236,nikon,13.0,2.7
www.ukdigitalcameras.co.uk//158,sony,20.2,3.0
www.ukdigitalcameras.co.uk//216,panasonic,16.1,3.0
www.ukdigitalcameras.co.uk//44,ricoh,14.0,2.7
www.ukdigitalcameras.co.uk//303,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//221,fuji,12.0,3.0
www.ukdigitalcameras.co.uk//219,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//268,canon,16.0,3.0
www.ukdigitalcameras.co.uk//165,sony,20.1,3.0
www.ukdigitalcameras.co.uk//144,canon,12.8,3.0
www.ukdigitalcameras.co.uk//288,canon,12.0,3.0
www.ukdigitalcameras.co.uk//36,samsung,16.0,4.8
www.ukdigitalcameras.co.uk//133,canon,12.0,3.0
www.ukdigitalcameras.co.uk//240,nikon,24.2,3.0
www.ukdigitalcameras.co.uk//262,canon,16.0,2.7
www.ukdigitalcameras.co.uk//54,fuji,16.4,2.7
www.ukdigitalcameras.co.uk//251,olympus,16.0,3.0
www.ukdigitalcameras.co.uk//282,canon,12.0,2.8
www.ukdigitalcameras.co.uk//53,olympus,16.0,3.0
www.ukdigitalcameras.co.uk//301,nikon,12.2,3.0
www.ukdigitalcameras.co.uk//256,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//159,sony,24.3,3.0
www.ukdigitalcameras.co.uk//43,canon,16.0,3.0
www.ukdigitalcameras.co.uk//286,nikon,12.0,3.0
www.ukdigitalcameras.co.uk//258,fuji,16.2,3.0
www.ukdigitalcameras.co.uk//222,fuji,16.0,3.0
www.ukdigitalcameras.co.uk//223,nikon,16.0,3.0
www.ukdigitalcameras.co.uk//270,panasonic,16.1,3.0
www.ukdigitalcameras.co.uk//279,panasonic,16.0,3.0
www.ukdigitalcameras.co.uk//245,samsung,16.0,4.8
www.ukdigitalcameras.co.uk//294,olympus,16.0,3.0
www.ukdigitalcameras.co.uk//285,canon,16.0,3.0
www.ukdigitalcameras.co.uk//306,fuji,16.2,3.0
